Vehicle type,Fuel type,Vehicle age,State
PRIVATE,GASOLINA,34,APPROVED
PRIVATE,GNV,1,APPROVED
PRIVATE,GASOLINA,4,APPROVED
INDEPENDENT,BI-GLP,3,APPROVED
STATION,BI-GNV,6,DISAPPROVED
PRIVATE,GASOLINA,7,DISAPPROVED
PRIVATE,GASOLINA,20,DISAPPROVED
PRIVATE,GASOLINA,33,DISAPPROVED
INDEPENDENT,BI-GNV,18,DISAPPROVED
INDEPENDENT,BI-GNV,8,DISAPPROVED
REMISSION,BI-GNV,2,DISAPPROVED
PRIVATE,GASOLINA,4,APPROVED
PRIVATE,BI-GNV,1,APPROVED
INDEPENDENT,BI-GNV,9,DISAPPROVED
INDEPENDENT,BI-GNV,6,APPROVED
STATION,BI-GNV,14,DISAPPROVED
INDEPENDENT,GASOLINA,7,DISAPPROVED
PRIVATE,GASOLINA,15,APPROVED
INDEPENDENT,BI-GLP,14,DISAPPROVED
INDEPENDENT,BI-GNV,4,DISAPPROVED
INDEPENDENT,BI-GLP,12,DISAPPROVED
STATION,BI-GNV,8,APPROVED
INDEPENDENT,BI-GNV,4,APPROVED
PRIVATE,GASOLINA,2,APPROVED
PRIVATE,GASOLINA,8,APPROVED
INDEPENDENT,BI-GNV,4,APPROVED
INDEPENDENT,GNV,9,APPROVED
STATION,GNV,2,DISAPPROVED
INDEPENDENT,BI-GNV,16,DISAPPROVED
PRIVATE,GASOLINA,0,DISAPPROVED
REMISSION,GNV,1,APPROVED
INDEPENDENT,BI-GNV,6,DISAPPROVED
INDEPENDENT,BI-GNV,18,DISAPPROVED
INDEPENDENT,GNV,14,APPROVED
INDEPENDENT,BI-GNV,14,APPROVED
STATION,BI-GLP,8,APPROVED
INDEPENDENT,BI-GNV,6,DISAPPROVED
INDEPENDENT,BI-GLP,13,DISAPPROVED
INDEPENDENT,GNV,3,APPROVED
PRIVATE,GASOLINA,15,APPROVED
STATION,GNV,4,DISAPPROVED
PRIVATE,BI-GLP,6,APPROVED
INDEPENDENT,BI-GNV,9,DISAPPROVED
INDEPENDENT,BI-GNV,19,APPROVED
PRIVATE,BI-GLP,2,APPROVED
PRIVATE,BI-GLP,26,DISAPPROVED
PRIVATE,BI-GNV,5,APPROVED
INDEPENDENT,BI-GNV,2,APPROVED
PRIVATE,BI-GNV,3,DISAPPROVED
STATION,BI-GNV,1,APPROVED
INDEPENDENT,BI-GNV,5,APPROVED
INDEPENDENT,BI-GNV,2,DISAPPROVED
STATION,BI-GNV,1,APPROVED
STATION,BI-GNV,6,DISAPPROVED
PRIVATE,GASOLINA,11,DISAPPROVED
STATION,BI-GNV,12,DISAPPROVED
STATION,BI-GNV,1,APPROVED
INDEPENDENT,BI-GNV,11,DISAPPROVED
PRIVATE,GASOLINA,2,APPROVED
STATION,BI-GLP,10,DISAPPROVED
STATION,GASOLINA,11,APPROVED
PRIVATE,BI-GNV,6,DISAPPROVED
STATION,GASOLINA,12,DISAPPROVED
STATION,BI-GNV,2,APPROVED
STATION,GNV,1,APPROVED
INDEPENDENT,GNV,11,DISAPPROVED
INDEPENDENT,BI-GLP,15,DISAPPROVED
STATION,BI-GNV,9,APPROVED
INDEPENDENT,GNV,14,DISAPPROVED
INDEPENDENT,BI-GLP,24,DISAPPROVED
INDEPENDENT,BI-GLP,18,DISAPPROVED
INDEPENDENT,GNV,8,APPROVED
STATION,GNV,4,DISAPPROVED
INDEPENDENT,BI-GNV,5,DISAPPROVED
REMISSION,GNV,2,APPROVED
STATION,BI-GNV,5,DISAPPROVED
STATION,BI-GNV,10,DISAPPROVED
STATION,BI-GNV,2,APPROVED
STATION,BI-GNV,1,DISAPPROVED
INDEPENDENT,BI-GNV,3,APPROVED
REMISSION,BI-GNV,12,DISAPPROVED
INDEPENDENT,BI-GNV,14,APPROVED
INDEPENDENT,BI-GNV,11,DISAPPROVED
INDEPENDENT,GASOLINA,7,DISAPPROVED
STATION,BI-GNV,4,DISAPPROVED
INDEPENDENT,BI-GLP,3,APPROVED
INDEPENDENT,BI-GNV,11,DISAPPROVED
INDEPENDENT,GNV,15,APPROVED
STATION,GNV,9,DISAPPROVED
STATION,BI-GNV,1,APPROVED
STATION,BI-GNV,1,DISAPPROVED
PRIVATE,GASOLINA,8,APPROVED
STATION,BI-GNV,6,APPROVED
PRIVATE,GASOLINA,1,APPROVED
INDEPENDENT,BI-GNV,1,APPROVED
STATION,BI-GLP,3,APPROVED
INDEPENDENT,BI-GNV,13,DISAPPROVED
INDEPENDENT,BI-GLP,10,DISAPPROVED
INDEPENDENT,BI-GNV,14,APPROVED
INDEPENDENT,GNV,23,DISAPPROVED
INDEPENDENT,BI-GNV,9,DISAPPROVED
INDEPENDENT,BI-GNV,1,DISAPPROVED
INDEPENDENT,BI-GNV,21,APPROVED
INDEPENDENT,BI-GNV,0,APPROVED
STATION,GNV,0,APPROVED
INDEPENDENT,BI-GNV,2,DISAPPROVED
INDEPENDENT,GNV,3,APPROVED
INDEPENDENT,GNV,12,DISAPPROVED
INDEPENDENT,GNV,7,DISAPPROVED
INDEPENDENT,GNV,3,APPROVED
INDEPENDENT,BI-GNV,4,APPROVED
INDEPENDENT,BI-GNV,20,DISAPPROVED
INDEPENDENT,BI-GNV,14,APPROVED
INDEPENDENT,BI-GNV,14,DISAPPROVED
STATION,GNV,2,APPROVED
INDEPENDENT,BI-GNV,19,APPROVED
STATION,GNV,2,DISAPPROVED
INDEPENDENT,BI-GNV,20,DISAPPROVED
INDEPENDENT,BI-GNV,3,DISAPPROVED
STATION,BI-GLP,17,DISAPPROVED
PRIVATE,GASOLINA,7,APPROVED
INDEPENDENT,BI-GNV,4,APPROVED
INDEPENDENT,GNV,2,APPROVED
INDEPENDENT,BI-GNV,7,APPROVED
INDEPENDENT,BI-GLP,6,APPROVED
INDEPENDENT,GNV,4,DISAPPROVED
INDEPENDENT,GNV,8,DISAPPROVED
INDEPENDENT,GNV,3,DISAPPROVED
STATION,GNV,3,APPROVED
INDEPENDENT,BI-GNV,4,DISAPPROVED
STATION,GNV,13,DISAPPROVED
STATION,BI-GNV,4,DISAPPROVED
INDEPENDENT,GNV,17,DISAPPROVED
INDEPENDENT,GNV,2,APPROVED
INDEPENDENT,GNV,3,DISAPPROVED
STATION,BI-GNV,6,APPROVED
INDEPENDENT,GNV,5,APPROVED
INDEPENDENT,BI-GNV,13,DISAPPROVED
INDEPENDENT,GNV,19,DISAPPROVED
INDEPENDENT,BI-GNV,2,APPROVED
INDEPENDENT,BI-GNV,3,DISAPPROVED
PRIVATE,BI-GLP,4,DISAPPROVED
INDEPENDENT,BI-GNV,4,DISAPPROVED
INDEPENDENT,GNV,2,DISAPPROVED
INDEPENDENT,GNV,9,DISAPPROVED
INDEPENDENT,BI-GNV,13,DISAPPROVED
INDEPENDENT,BI-GNV,4,APPROVED
INDEPENDENT,GNV,20,APPROVED
INDEPENDENT,BI-GNV,13,DISAPPROVED
STATION,BI-GLP,14,APPROVED
INDEPENDENT,GNV,13,DISAPPROVED
INDEPENDENT,BI-GLP,20,DISAPPROVED
INDEPENDENT,GNV,20,APPROVED
INDEPENDENT,GNV,2,APPROVED
INDEPENDENT,GASOLINA,20,APPROVED
PRIVATE,BI-GNV,1,APPROVED
INDEPENDENT,BI-GLP,4,APPROVED
PRIVATE,BI-GNV,7,DISAPPROVED
INDEPENDENT,BI-GLP,3,APPROVED
INDEPENDENT,BI-GLP,6,APPROVED
INDEPENDENT,BI-GNV,6,APPROVED
INDEPENDENT,BI-GNV,27,APPROVED
INDEPENDENT,BI-GNV,8,DISAPPROVED
INDEPENDENT,BI-GNV,7,DISAPPROVED
INDEPENDENT,BI-GNV,1,APPROVED
INDEPENDENT,BI-GNV,13,DISAPPROVED
INDEPENDENT,BI-GNV,4,APPROVED
INDEPENDENT,BI-GNV,6,APPROVED
INDEPENDENT,BI-GNV,15,APPROVED
PRIVATE,GASOLINA,2,APPROVED
PRIVATE,GASOLINA,4,DISAPPROVED
INDEPENDENT,BI-GLP,2,APPROVED
PRIVATE,BI-GLP,2,APPROVED
PRIVATE,BI-GLP,13,DISAPPROVED
PRIVATE,GASOLINA,9,APPROVED
STATION,BI-GLP,1,APPROVED
INDEPENDENT,BI-GNV,5,APPROVED
INDEPENDENT,BI-GNV,2,APPROVED
PRIVATE,BI-GLP,4,APPROVED
INDEPENDENT,BI-GLP,14,DISAPPROVED
INDEPENDENT,BI-GNV,7,DISAPPROVED
INDEPENDENT,BI-GNV,19,APPROVED
STATION,BI-GNV,4,DISAPPROVED
STATION,BI-GNV,2,APPROVED
INDEPENDENT,BI-GNV,21,DISAPPROVED
INDEPENDENT,BI-GNV,6,DISAPPROVED
PRIVATE,GASOLINA,3,DISAPPROVED
STATION,BI-GNV,13,APPROVED
INDEPENDENT,BI-GLP,6,DISAPPROVED
INDEPENDENT,BI-GNV,1,APPROVED
INDEPENDENT,BI-GNV,13,APPROVED
PRIVATE,BI-GNV,4,APPROVED
STATION,BI-GNV,13,APPROVED
PRIVATE,GASOLINA,0,DISAPPROVED
PRIVATE,GASOLINA,1,APPROVED
INDEPENDENT,BI-GNV,14,APPROVED
STATION,BI-GLP,4,DISAPPROVED
INDEPENDENT,BI-GNV,4,APPROVED
INDEPENDENT,BI-GNV,14,DISAPPROVED
INDEPENDENT,BI-GNV,3,APPROVED
INDEPENDENT,BI-GNV,7,DISAPPROVED
INDEPENDENT,BI-GNV,5,DISAPPROVED
INDEPENDENT,BI-GNV,19,DISAPPROVED
STATION,BI-GNV,4,DISAPPROVED
INDEPENDENT,BI-GNV,5,APPROVED
INDEPENDENT,BI-GLP,2,DISAPPROVED
INDEPENDENT,BI-GLP,12,DISAPPROVED
STATION,BI-GNV,2,APPROVED
INDEPENDENT,BI-GNV,8,DISAPPROVED
INDEPENDENT,BI-GNV,22,APPROVED
PRIVATE,BI-GNV,4,DISAPPROVED
INDEPENDENT,BI-GNV,8,DISAPPROVED
STATION,BI-GNV,7,DISAPPROVED
INDEPENDENT,BI-GNV,4,DISAPPROVED
INDEPENDENT,BI-GNV,4,DISAPPROVED
INDEPENDENT,BI-GLP,13,DISAPPROVED
STATION,BI-GLP,2,DISAPPROVED
INDEPENDENT,BI-GNV,7,DISAPPROVED
PRIVATE,GASOLINA,27,DISAPPROVED
INDEPENDENT,BI-GNV,23,APPROVED
PRIVATE,BI-GLP,4,APPROVED
PRIVATE,BI-GLP,2,DISAPPROVED
PRIVATE,BI-GNV,15,APPROVED
PRIVATE,GASOLINA,2,APPROVED
STATION,BI-GNV,11,DISAPPROVED
PRIVATE,BI-GLP,2,APPROVED
PRIVATE,GASOLINA,11,APPROVED
PRIVATE,GASOLINA,1,APPROVED
PRIVATE,GASOLINA,8,APPROVED
INDEPENDENT,BI-GNV,5,APPROVED
PRIVATE,GASOLINA,12,DISAPPROVED
INDEPENDENT,BI-GNV,14,APPROVED
INDEPENDENT,BI-GNV,6,APPROVED
STATION,BI-GLP,2,APPROVED
INDEPENDENT,BI-GNV,6,APPROVED
STATION,BI-GNV,3,DISAPPROVED
INDEPENDENT,BI-GNV,9,DISAPPROVED
INDEPENDENT,BI-GNV,6,DISAPPROVED
STATION,BI-GNV,4,APPROVED
INDEPENDENT,BI-GNV,12,DISAPPROVED
STATION,BI-GNV,8,DISAPPROVED
STATION,BI-GNV,10,DISAPPROVED
INDEPENDENT,BI-GNV,6,DISAPPROVED
INDEPENDENT,BI-GLP,5,DISAPPROVED
STATION,BI-GLP,6,APPROVED
INDEPENDENT,BI-GNV,10,DISAPPROVED
PRIVATE,GASOLINA,4,APPROVED
PRIVATE,BI-GLP,9,APPROVED
INDEPENDENT,BI-GNV,15,APPROVED
STATION,BI-GNV,5,DISAPPROVED
PRIVATE,GASOLINA,3,APPROVED
PRIVATE,BI-GLP,4,DISAPPROVED
PRIVATE,GASOLINA,2,APPROVED
PRIVATE,BI-GLP,2,APPROVED
INDEPENDENT,GNV,9,DISAPPROVED
PRIVATE,GASOLINA,3,APPROVED
STATION,BI-GNV,9,APPROVED
INDEPENDENT,BI-GNV,14,APPROVED
STATION,BI-GNV,3,APPROVED
PRIVATE,BI-GLP,2,APPROVED
STATION,BI-GLP,6,APPROVED
STATION,BI-GNV,10,DISAPPROVED
INDEPENDENT,BI-GNV,13,DISAPPROVED
INDEPENDENT,BI-GNV,6,DISAPPROVED
STATION,BI-GNV,15,APPROVED
INDEPENDENT,BI-GNV,8,DISAPPROVED
STATION,BI-GLP,3,APPROVED
INDEPENDENT,BI-GNV,4,DISAPPROVED
STATION,BI-GNV,2,DISAPPROVED
STATION,BI-GNV,6,DISAPPROVED
STATION,BI-GNV,4,DISAPPROVED
INDEPENDENT,BI-GNV,13,DISAPPROVED
INDEPENDENT,BI-GNV,18,APPROVED
INDEPENDENT,BI-GNV,3,APPROVED
INDEPENDENT,BI-GNV,4,DISAPPROVED
STATION,BI-GLP,11,DISAPPROVED
STATION,GASOLINA,9,DISAPPROVED
INDEPENDENT,BI-GNV,24,DISAPPROVED
STATION,BI-GNV,2,APPROVED
PRIVATE,BI-GLP,7,DISAPPROVED
INDEPENDENT,BI-GLP,22,DISAPPROVED
PRIVATE,GASOLINA,16,APPROVED
STATION,GASOLINA,0,DISAPPROVED
STATION,BI-GNV,3,APPROVED
REMISSION,BI-GLP,3,DISAPPROVED
STATION,BI-GNV,2,APPROVED
INDEPENDENT,BI-GNV,9,DISAPPROVED
STATION,GNV,6,DISAPPROVED
PRIVATE,BI-GLP,20,DISAPPROVED
STATION,BI-GNV,3,APPROVED
PRIVATE,GASOLINA,2,APPROVED
INDEPENDENT,BI-GNV,13,DISAPPROVED
STATION,GNV,2,DISAPPROVED
PRIVATE,GNV,3,DISAPPROVED
STATION,GNV,2,APPROVED
INDEPENDENT,BI-GNV,7,DISAPPROVED
STATION,BI-GNV,8,APPROVED
STATION,GNV,2,APPROVED
PRIVATE,GNV,2,APPROVED
PRIVATE,GASOLINA,30,APPROVED
INDEPENDENT,BI-GNV,7,DISAPPROVED
PRIVATE,GNV,19,DISAPPROVED
INDEPENDENT,GNV,6,DISAPPROVED
INDEPENDENT,GASOLINA,19,APPROVED
STATION,GNV,3,DISAPPROVED
INDEPENDENT,BI-GNV,14,APPROVED
INDEPENDENT,BI-GNV,13,DISAPPROVED
STATION,BI-GNV,18,DISAPPROVED
PRIVATE,BI-GLP,6,APPROVED
PRIVATE,GASOLINA,1,APPROVED
STATION,BI-GNV,14,APPROVED
INDEPENDENT,BI-GNV,10,DISAPPROVED
INDEPENDENT,BI-GNV,13,DISAPPROVED
INDEPENDENT,BI-GNV,8,DISAPPROVED
INDEPENDENT,GNV,5,DISAPPROVED
PRIVATE,GASOLINA,2,APPROVED
INDEPENDENT,GNV,7,DISAPPROVED
INDEPENDENT,GASOLINA,7,APPROVED
INDEPENDENT,GNV,5,APPROVED
INDEPENDENT,GASOLINA,5,DISAPPROVED
INDEPENDENT,GNV,1,DISAPPROVED
STATION,GNV,3,APPROVED
INDEPENDENT,GNV,21,APPROVED
INDEPENDENT,GASOLINA,20,DISAPPROVED
STATION,GASOLINA,3,APPROVED
PRIVATE,BI-GLP,2,APPROVED
INDEPENDENT,BI-GNV,21,APPROVED
STATION,GNV,5,DISAPPROVED
INDEPENDENT,GNV,10,DISAPPROVED
INDEPENDENT,BI-GNV,8,DISAPPROVED
INDEPENDENT,GNV,2,APPROVED
INDEPENDENT,GNV,14,DISAPPROVED
INDEPENDENT,GNV,6,DISAPPROVED
INDEPENDENT,BI-GLP,7,DISAPPROVED
STATION,BI-GNV,2,APPROVED
STATION,GNV,16,APPROVED
PRIVATE,GASOLINA,23,DISAPPROVED
STATION,BI-GLP,11,APPROVED
INDEPENDENT,GNV,6,DISAPPROVED
STATION,BI-GNV,6,APPROVED
STATION,BI-GNV,6,DISAPPROVED
INDEPENDENT,BI-GNV,19,DISAPPROVED
STATION,BI-GNV,4,APPROVED
INDEPENDENT,BI-GNV,14,DISAPPROVED
STATION,GASOLINA,1,APPROVED
STATION,GNV,12,APPROVED
STATION,BI-GNV,3,DISAPPROVED
INDEPENDENT,BI-GNV,6,DISAPPROVED
INDEPENDENT,BI-GLP,20,DISAPPROVED
STATION,GNV,8,DISAPPROVED
PRIVATE,GNV,1,APPROVED
INDEPENDENT,BI-GNV,7,DISAPPROVED
INDEPENDENT,BI-GNV,3,APPROVED
INDEPENDENT,BI-GLP,5,DISAPPROVED
INDEPENDENT,GNV,5,APPROVED
INDEPENDENT,BI-GLP,6,DISAPPROVED
INDEPENDENT,GNV,17,APPROVED
INDEPENDENT,BI-GLP,16,APPROVED
STATION,GASOLINA,6,APPROVED
STATION,GNV,12,DISAPPROVED
INDEPENDENT,GNV,14,DISAPPROVED
STATION,BI-GNV,5,APPROVED
INDEPENDENT,GNV,5,DISAPPROVED
STATION,BI-GLP,2,DISAPPROVED
INDEPENDENT,GNV,9,DISAPPROVED
STATION,BI-GNV,5,APPROVED
STATION,BI-GNV,6,APPROVED
STATION,BI-GNV,4,APPROVED
INDEPENDENT,BI-GNV,14,APPROVED
STATION,GNV,12,DISAPPROVED
STATION,BI-GNV,4,DISAPPROVED
STATION,BI-GNV,2,DISAPPROVED
STATION,GNV,9,DISAPPROVED
INDEPENDENT,GNV,7,DISAPPROVED
STATION,BI-GNV,3,DISAPPROVED
STATION,BI-GNV,2,APPROVED
INDEPENDENT,BI-GNV,13,APPROVED
INDEPENDENT,BI-GNV,16,DISAPPROVED
INDEPENDENT,BI-GNV,5,DISAPPROVED
INDEPENDENT,BI-GNV,2,DISAPPROVED
PRIVATE,BI-GLP,8,APPROVED
INDEPENDENT,BI-GNV,7,DISAPPROVED
INDEPENDENT,BI-GNV,2,APPROVED
PRIVATE,GASOLINA,3,DISAPPROVED
INDEPENDENT,BI-GNV,9,DISAPPROVED
INDEPENDENT,BI-GNV,10,DISAPPROVED
INDEPENDENT,BI-GNV,11,DISAPPROVED
STATION,GASOLINA,1,APPROVED
PRIVATE,GASOLINA,4,APPROVED
STATION,BI-GNV,3,APPROVED
INDEPENDENT,BI-GLP,2,DISAPPROVED
PRIVATE,BI-GLP,24,APPROVED
INDEPENDENT,BI-GNV,18,DISAPPROVED
INDEPENDENT,BI-GNV,6,DISAPPROVED
STATION,BI-GNV,3,DISAPPROVED
INDEPENDENT,BI-GNV,3,DISAPPROVED
PRIVATE,GASOLINA,2,APPROVED
INDEPENDENT,GNV,8,APPROVED
INDEPENDENT,GASOLINA,12,DISAPPROVED
INDEPENDENT,BI-GNV,3,DISAPPROVED
STATION,BI-GNV,1,APPROVED
STATION,GNV,1,APPROVED
PRIVATE,GASOLINA,2,APPROVED
INDEPENDENT,GNV,6,DISAPPROVED
INDEPENDENT,GNV,2,APPROVED
INDEPENDENT,GASOLINA,6,DISAPPROVED
INDEPENDENT,BI-GNV,4,APPROVED
REMISSION,GNV,1,APPROVED
INDEPENDENT,GASOLINA,3,DISAPPROVED
STATION,BI-GNV,7,APPROVED
STATION,GNV,2,DISAPPROVED
PRIVATE,GASOLINA,5,DISAPPROVED
INDEPENDENT,GASOLINA,4,APPROVED
INDEPENDENT,BI-GNV,8,DISAPPROVED
INDEPENDENT,BI-GNV,2,DISAPPROVED
INDEPENDENT,BI-GNV,2,APPROVED
PRIVATE,GASOLINA,27,DISAPPROVED
INDEPENDENT,GASOLINA,11,DISAPPROVED
INDEPENDENT,BI-GLP,11,APPROVED
PRIVATE,BI-GLP,3,APPROVED
PRIVATE,GASOLINA,6,DISAPPROVED
INDEPENDENT,BI-GNV,23,DISAPPROVED
PRIVATE,GASOLINA,1,APPROVED
INDEPENDENT,GNV,4,APPROVED
STATION,BI-GNV,4,APPROVED
INDEPENDENT,BI-GNV,5,DISAPPROVED
STATION,BI-GNV,10,DISAPPROVED
STATION,BI-GNV,4,APPROVED
INDEPENDENT,GNV,13,DISAPPROVED
INDEPENDENT,GNV,5,DISAPPROVED
INDEPENDENT,BI-GLP,4,APPROVED
INDEPENDENT,BI-GLP,21,APPROVED
INDEPENDENT,GNV,11,DISAPPROVED
STATION,BI-GNV,9,DISAPPROVED
INDEPENDENT,BI-GNV,3,DISAPPROVED
INDEPENDENT,BI-GNV,4,APPROVED
INDEPENDENT,GNV,20,DISAPPROVED
INDEPENDENT,BI-GNV,14,APPROVED
INDEPENDENT,BI-GNV,11,DISAPPROVED
STATION,BI-GNV,8,DISAPPROVED
INDEPENDENT,BI-GLP,5,APPROVED
STATION,GNV,4,APPROVED
INDEPENDENT,BI-GLP,13,DISAPPROVED
INDEPENDENT,BI-GLP,14,DISAPPROVED
INDEPENDENT,BI-GNV,1,APPROVED
INDEPENDENT,BI-GNV,7,APPROVED
STATION,BI-GNV,2,APPROVED
PRIVATE,GASOLINA,0,APPROVED
INDEPENDENT,BI-GNV,4,APPROVED
PRIVATE,BI-GNV,4,APPROVED
INDEPENDENT,BI-GNV,5,DISAPPROVED
PRIVATE,BI-GNV,1,DISAPPROVED
INDEPENDENT,GASOLINA,1,APPROVED
PRIVATE,BI-GNV,2,APPROVED
INDEPENDENT,BI-GLP,9,DISAPPROVED
PRIVATE,GASOLINA,1,APPROVED
INDEPENDENT,BI-GLP,9,DISAPPROVED
STATION,BI-GNV,0,APPROVED
INDEPENDENT,BI-GNV,19,APPROVED
STATION,GNV,3,DISAPPROVED
INDEPENDENT,BI-GNV,13,DISAPPROVED
STATION,GASOLINA,3,APPROVED
INDEPENDENT,BI-GNV,7,APPROVED
INDEPENDENT,BI-GNV,8,DISAPPROVED
PRIVATE,BI-GNV,6,DISAPPROVED
PRIVATE,BI-GNV,4,APPROVED
INDEPENDENT,BI-GNV,24,DISAPPROVED
PRIVATE,GASOLINA,8,DISAPPROVED
PRIVATE,GASOLINA,3,APPROVED
PRIVATE,GASOLINA,10,DISAPPROVED
PRIVATE,GASOLINA,1,APPROVED
PRIVATE,GASOLINA,4,APPROVED
PRIVATE,GASOLINA,6,APPROVED
INDEPENDENT,GASOLINA,3,APPROVED
PRIVATE,GASOLINA,5,APPROVED
INDEPENDENT,GASOLINA,0,APPROVED
INDEPENDENT,BI-GNV,4,DISAPPROVED
STATION,BI-GNV,1,APPROVED
STATION,BI-GNV,7,APPROVED
STATION,BI-GNV,4,DISAPPROVED
STATION,BI-GNV,3,APPROVED
PRIVATE,GASOLINA,2,APPROVED
INDEPENDENT,BI-GNV,7,APPROVED
INDEPENDENT,BI-GNV,6,DISAPPROVED
PRIVATE,GASOLINA,6,DISAPPROVED
STATION,BI-GNV,2,APPROVED
INDEPENDENT,BI-GNV,4,DISAPPROVED
INDEPENDENT,BI-GNV,3,APPROVED
STATION,BI-GNV,4,DISAPPROVED
PRIVATE,GASOLINA,0,APPROVED
INDEPENDENT,GASOLINA,6,DISAPPROVED
INDEPENDENT,BI-GNV,7,DISAPPROVED
PRIVATE,BI-GNV,23,DISAPPROVED
PRIVATE,GASOLINA,2,DISAPPROVED
STATION,BI-GNV,2,DISAPPROVED
INDEPENDENT,BI-GNV,15,DISAPPROVED
STATION,BI-GNV,9,DISAPPROVED
PRIVATE,BI-GNV,2,APPROVED
INDEPENDENT,GASOLINA,13,DISAPPROVED
STATION,BI-GLP,2,APPROVED
STATION,BI-GNV,8,DISAPPROVED
INDEPENDENT,BI-GNV,13,DISAPPROVED
PRIVATE,GASOLINA,1,APPROVED
STATION,BI-GNV,5,APPROVED
STATION,BI-GNV,5,APPROVED
STATION,BI-GNV,3,DISAPPROVED
INDEPENDENT,BI-GNV,15,DISAPPROVED
STATION,BI-GNV,5,APPROVED
STATION,BI-GNV,4,APPROVED
INDEPENDENT,BI-GNV,20,DISAPPROVED
STATION,GASOLINA,1,DISAPPROVED
INDEPENDENT,GASOLINA,2,APPROVED
INDEPENDENT,BI-GNV,5,DISAPPROVED
STATION,BI-GNV,6,APPROVED
PRIVATE,GASOLINA,2,DISAPPROVED
INDEPENDENT,BI-GNV,8,DISAPPROVED
STATION,GASOLINA,10,APPROVED
STATION,GASOLINA,2,DISAPPROVED
PRIVATE,GASOLINA,5,APPROVED
PRIVATE,BI-GNV,1,APPROVED
INDEPENDENT,BI-GNV,15,DISAPPROVED
INDEPENDENT,BI-GNV,6,DISAPPROVED
STATION,GASOLINA,1,DISAPPROVED
INDEPENDENT,BI-GNV,4,APPROVED
INDEPENDENT,BI-GNV,4,APPROVED
INDEPENDENT,BI-GLP,6,APPROVED
INDEPENDENT,BI-GLP,6,APPROVED
STATION,GASOLINA,1,DISAPPROVED
INDEPENDENT,BI-GNV,3,APPROVED
PRIVATE,BI-GNV,23,APPROVED
PRIVATE,BI-GLP,3,APPROVED
INDEPENDENT,BI-GNV,15,APPROVED
INDEPENDENT,BI-GNV,9,DISAPPROVED
INDEPENDENT,GNV,1,DISAPPROVED
PRIVATE,BI-GNV,3,DISAPPROVED
INDEPENDENT,GNV,15,APPROVED
INDEPENDENT,BI-GNV,15,APPROVED
PRIVATE,GASOLINA,21,DISAPPROVED
PRIVATE,GASOLINA,1,APPROVED
PRIVATE,GASOLINA,1,APPROVED
INDEPENDENT,BI-GNV,8,DISAPPROVED
PRIVATE,GNV,6,APPROVED
PRIVATE,GASOLINA,5,DISAPPROVED
PRIVATE,BI-GLP,1,APPROVED
INDEPENDENT,BI-GNV,1,APPROVED
INDEPENDENT,BI-GNV,17,APPROVED
INDEPENDENT,BI-GNV,8,DISAPPROVED
PRIVATE,BI-GNV,22,DISAPPROVED
INDEPENDENT,BI-GNV,16,DISAPPROVED
INDEPENDENT,BI-GNV,13,DISAPPROVED
INDEPENDENT,BI-GNV,0,APPROVED
PRIVATE,BI-GLP,10,APPROVED
INDEPENDENT,BI-GNV,4,APPROVED
INDEPENDENT,BI-GNV,2,APPROVED
PRIVATE,BI-GLP,4,APPROVED
STATION,BI-GNV,5,APPROVED
PRIVATE,BI-GNV,2,APPROVED
STATION,BI-GNV,10,DISAPPROVED
PRIVATE,GASOLINA,4,DISAPPROVED
INDEPENDENT,GASOLINA,3,APPROVED
STATION,BI-GNV,4,DISAPPROVED
INDEPENDENT,BI-GNV,17,DISAPPROVED
STATION,GASOLINA,1,APPROVED
STATION,BI-GNV,15,APPROVED
STATION,BI-GNV,10,DISAPPROVED
INDEPENDENT,BI-GNV,8,APPROVED
INDEPENDENT,BI-GNV,10,DISAPPROVED
INDEPENDENT,GASOLINA,9,DISAPPROVED
INDEPENDENT,BI-GNV,24,DISAPPROVED
STATION,GASOLINA,8,APPROVED
PRIVATE,GASOLINA,8,APPROVED
INDEPENDENT,GNV,19,DISAPPROVED
STATION,BI-GNV,12,DISAPPROVED
INDEPENDENT,BI-GLP,21,DISAPPROVED
INDEPENDENT,BI-GLP,2,APPROVED
INDEPENDENT,GASOLINA,15,DISAPPROVED
INDEPENDENT,BI-GNV,23,DISAPPROVED
STATION,BI-GNV,8,DISAPPROVED
INDEPENDENT,BI-GNV,11,DISAPPROVED
REMISSION,BI-GNV,6,APPROVED
PRIVATE,BI-GLP,13,DISAPPROVED
INDEPENDENT,BI-GNV,19,APPROVED
STATION,BI-GNV,6,DISAPPROVED
PRIVATE,BI-GLP,4,DISAPPROVED
STATION,BI-GNV,2,APPROVED
STATION,GASOLINA,2,DISAPPROVED
STATION,BI-GNV,3,APPROVED
STATION,BI-GLP,3,DISAPPROVED
STATION,BI-GNV,10,DISAPPROVED
STATION,BI-GNV,2,APPROVED
STATION,GASOLINA,5,APPROVED
STATION,BI-GNV,13,DISAPPROVED
STATION,BI-GNV,13,APPROVED
INDEPENDENT,BI-GNV,8,DISAPPROVED
PRIVATE,BI-GNV,4,DISAPPROVED
INDEPENDENT,BI-GNV,9,DISAPPROVED
INDEPENDENT,BI-GNV,20,DISAPPROVED
STATION,BI-GNV,2,APPROVED
STATION,BI-GNV,8,DISAPPROVED
INDEPENDENT,BI-GNV,18,APPROVED
